id_hd,xxxx,yyyy,year,Xnorm
metadc100824,0.2270698628607237,1951.5958715752186,1951,99.0
metadc172432,8.600553025644949,1934.2502820497746,1934,2.0
metadc172454,6.754522261242945,1947.0724309146772,1947,60.875
metadc172515,10.193103019485939,1951.6555210167999,1951,58.4
metadc277363,6.3255047719437805,1932.6077324306461,1932,72.0
metadc277364,8.324330462729032,1929.2858263236608,1929,37.0
metadc277365,10.294205213821424,1923.487381467912,1923,46.857142857142854
metadc277366,1.0210923413471558,1931.3208995761206,1931,52.5
metadc277367,1.7679827209826358,1923.0301168905435,1923,26.0
metadc277368,9.265535857352898,1927.1032048244901,1927,64.0
metadc277369,0.6019893416397837,1921.025886666913,1921,64.33333333333333
metadc277370,3.1701571863912195,1924.6919766281528,1924,67.0
metadc277371,9.482494402437538,1928.681580345655,1928,94.0
metadc277372,10.342418804607362,1923.87404734156,1923,11.0
metadc277373,1.337800896986575,1930.9113005697366,1930,69.66666666666667
metadc277375,8.174208310659036,1924.0323994862479,1924,93.0
metadc277376,1.2890013267052232,1930.075879013541,1930,51.0
metadc277377,0.3347708473641443,1932.333249873278,1932,36.0
metadc277378,8.434322913536473,1931.6236836646356,1931,59.0
metadc277379,2.635879045416813,1926.5545240762146,1926,25.0
metadc277380,7.430298835718179,1931.0117827544425,1931,93.5
metadc277381,8.28611781989554,1924.7106049460824,1924,103.0
metadc277382,9.368671028534862,1930.9368825426745,1930,43.0
metadc277383,10.295431106784449,1926.3178283083896,1926,60.5
metadc277384,10.15054606262942,1932.848234321403,1932,30.0
metadc277385,5.245090547342457,1924.5874148463101,1924,18.333333333333332
metadc277386,10.323194856402052,1928.8470889990235,1928,64.0
metadc277387,1.4514638070188048,1928.324693459405,1928,51.0
metadc277388,4.328498248046655,1925.07390381854,1925,98.0
metadc277389,3.2744233380114207,1927.3433821501671,1927,37.666666666666664
metadc277390,5.205299615949962,1924.4580118635145,1924,11.0
metadc277391,8.545040502618132,1932.920084842092,1932,51.0
metadc277392,6.40791179777295,1923.8941707614367,1923,69.0
metadc277393,3.2926607104247005,1925.688169616384,1925,51.0
metadc277394,7.076625746935856,1924.5977327296125,1924,9.5
metadc277395,4.291350079833337,1925.0007673162188,1925,66.0
metadc277396,9.458277028115344,1930.842555944266,1930,76.0
metadc277397,1.0881052664383446,1923.8743858310904,1923,94.0
metadc277398,2.444248384201352,1931.986018316111,1931,106.0
metadc277399,4.32067940720678,1921.1679182943549,1921,55.0
metadc277400,2.501891172145613,1931.736497543068,1931,106.0
metadc277401,5.671408167568504,1930.4120970556692,1930,106.0
metadc277402,3.3075038966130395,1931.6501445694116,1931,6.0
metadc277404,4.523081692840722,1923.1105135682376,1923,106.0
metadc277405,6.259659069974742,1929.078147206269,1929,36.0
metadc277406,0.1245833108931739,1931.7938187144046,1931,54.0
metadc277407,0.19584361360737929,1925.882826148031,1925,71.5
metadc277408,8.188343866028246,1924.4580105283176,1924,83.0
metadc277409,1.4403288439477986,1928.8816918702726,1928,106.0
metadc277410,5.324087120500279,1931.8349903493133,1931,65.0
metadc277411,7.15910400174843,1918.1288606195787,1918,70.33333333333333
metadc277412,4.313202347797041,1929.9400558227567,1929,31.0
metadc277413,0.3573986073187062,1930.827736199635,1930,108.0
metadc277414,10.254471867986515,1930.2736584823333,1930,41.0
metadc277415,4.464042149562488,1932.5476376882289,1932,58.0
metadc277416,8.201811551951334,1921.1487649272283,1921,20.0
metadc277417,0.3861809392037513,1930.532420106675,1930,98.0
metadc277418,5.34520398665453,1923.1596407761767,1923,9.5
metadc277419,2.270789266672289,1927.0458545975823,1927,51.0
metadc277420,7.322969276928299,1931.0621960544454,1931,43.0
metadc277421,1.1498148513132933,1931.290576113782,1931,51.0
metadc277422,3.0592279518180567,1927.831237412236,1927,64.0
metadc277423,1.1979791661516153,1926.0166716861386,1926,100.0
metadc277424,3.169597045250334,1936.7105881135128,1936,42.0
metadc277425,1.5845068505565276,1927.5265708794213,1927,30.0
metadc277426,5.6886302535769335,1930.049270969493,1930,54.0
metadc277427,9.145847844406504,1929.6326660904156,1929,99.0
metadc277428,4.223944169048337,1927.9931523920318,1927,64.0
metadc277429,8.382653895049524,1931.8093577190061,1931,9.5
metadc277430,3.5202722288872743,1931.476707540618,1931,106.0
metadc277431,0.07687194152808456,1923.8316919349268,1923,37.0
metadc277432,4.631036813997053,1930.0036212104046,1930,23.333333333333332
metadc277433,5.543885075127354,1923.0200885809286,1923,54.0
metadc277434,2.6804970728405952,1927.2273168614527,1927,54.0
metadc277435,6.522764048620028,1923.166524576167,1923,97.0
metadc277436,8.47344876307924,1923.7682802220547,1923,88.0
metadc277437,5.711930233127549,1931.515647428103,1931,48.5
metadc277438,2.139718320797821,1929.2546882981733,1929,54.0
metadc277439,8.545551365347707,1923.2585000457716,1923,106.0
metadc277440,5.604897815039337,1924.9493541704535,1924,23.0
